SL,ID,Year, Market Capitalization ,Market Cap Growth,Debt / Equity Ratio,Debt / FCF Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Total Shareholders Return,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
20,WAFD,2016,"2,414,257,832",0.129,1.074,10.907,0.083,0.011,0.015,,15.311,7.313,0.54,-0.519
20,WAFD,2017,"2,975,533,890",0.232,1.138,13.465,0.086,0.012,0.015,,15.308,7.381,1.302,-0.088
20,WAFD,2018,"2,673,201,440",-0.102,1.196,14.595,0.102,0.013,0.015,,15.222,7.442,2.274,0.013
20,WAFD,2019,"2,937,056,306",0.099,1.135,10.779,0.105,0.013,0.014,,15.23,7.492,1.551,0.029
21,CMA,2010,"7,455,006,705",0.668,1.082,4.874,0.026,0.003,0.006,,14.688,6.887,0.183,-28.982
21,CMA,2011,"5,126,006,359",-0.312,0.73,7.428,0.06,0.007,0.009,,14.877,6.972,0.072,-20.251
21,CMA,2012,"5,775,040,237",0.127,0.696,7.828,0.073,0.008,0.012,,14.881,7.053,0.165,-15.307
21,CMA,2013,"8,695,574,155",0.506,0.531,5.172,0.076,0.008,0.013,,15.2,7.115,0.085,-7.407
21,CMA,2014,"8,416,519,314",-0.032,0.377,4.905,0.079,0.009,0.013,,15.319,7.19,0.123,-2.841
21,CMA,2015,"7,392,817,311",-0.122,0.408,4.13,0.068,0.007,0.011,,15.317,7.255,0.241,-1.759
21,CMA,2016,"11,732,831,636",0.587,0.665,13.261,0.061,0.007,0.009,,15.311,7.313,0.54,-0.519
21,CMA,2017,"15,097,564,449",0.287,0.582,4.559,0.093,0.01,0.017,,15.308,7.381,1.302,-0.088
21,CMA,2018,"11,107,057,189",-0.264,0.867,4.264,0.156,0.017,0.021,,15.222,7.442,2.274,0.013
21,CMA,2019,"10,343,073,464",-0.069,1.002,7.311,0.163,0.017,0.02,,15.23,7.492,1.551,0.029
22,FHN,2010,"2,742,871,492",-0.064,2.318,7.614,-0.02,-0.002,0.001,,14.688,6.887,0.183,-28.982
22,FHN,2011,"2,108,952,320",-0.231,1.901,530.212,0.055,0.005,0.005,,14.877,6.972,0.072,-20.251
22,FHN,2012,"2,449,097,672",0.161,2.066,12.811,-0.012,-0.001,-0.004,,14.881,7.053,0.165,-15.307
22,FHN,2013,"2,753,222,248",0.124,1.545,8.415,0.009,0.001,0,,15.2,7.115,0.085,-7.407
22,FHN,2014,"3,194,675,499",0.16,1.591,5.373,0.094,0.009,0.012,,15.319,7.19,0.123,-2.841
22,FHN,2015,"3,401,127,614",0.065,0.961,6.112,0.035,0.003,0.004,,15.317,7.255,0.241,-1.759
22,FHN,2016,"4,667,024,186",0.372,0.826,15.455,0.092,0.008,0.012,,15.311,7.313,0.54,-0.519
22,FHN,2017,"4,682,267,995",0.003,1.144,-62.487,0.054,0.005,0.009,,15.308,7.381,1.302,-0.088
22,FHN,2018,"4,263,087,459",-0.09,0.513,10.671,0.123,0.013,0.017,,15.222,7.442,2.274,0.013
22,FHN,2019,"5,153,135,948",0.209,0.901,5.38,0.093,0.01,0.013,,15.23,7.492,1.551,0.029
23,FULT,2010,"2,057,153,340",0.338,0.954,6.884,0.056,0.007,0.01,,14.688,6.887,0.183,-28.982
23,FULT,2011,"1,962,127,530",-0.046,0.822,4.734,0.074,0.009,0.012,,14.877,6.972,0.072,-20.251
